name,bus,pgini_mw,qgini_mvar,sgn_mva,q_min_attr,q_min_mvar_pf,q_max_attr,q_max_mvar_pf,control_attr,control_value,usetp_pu,p_result_mw,q_result_mvar,outserv,desc
gen_BE0_1_waste,BE0_1,0.02182513289153576,0.0,231.8000030517578,q_min,-47.06899642944336,q_max,47.06899642944336,av_mode,constq,1.0,0.02182513289153576,0.0,0.0,[]
gen_CH0_0_0_onwind,CH0_0,-0.0,0.0,55.00009536743164,q_min,-11.168246269226074,q_max,11.168246269226074,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_CH0_0_0_solar,CH0_0,-0.0,0.0,98.79813385009766,q_min,-20.06181526184082,q_max,20.06181526184082,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_CH0_0_0_solar-hsat,CH0_0,-0.0,0.0,1.0,q_min,-0.008708419278264046,q_max,0.008708419278264046,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_CH0_0_CCGT,CH0_0,0.00656907306984067,0.0,55.00015640258789,q_min,-11.168258666992188,q_max,11.168258666992188,av_mode,constq,1.0,0.00656907306984067,4.336808689942018e-19,0.0,[]
gen_CH0_0_biomass,CH0_0,58.97590637207031,0.0,59.0,q_min,-11.980461120605469,q_max,11.980461120605469,av_mode,constq,1.0,58.97590637207031,0.0,0.0,[]
gen_CH0_0_nuclear,CH0_0,60.96945571899414,0.0,3095.0,q_min,-628.466552734375,q_max,628.466552734375,av_mode,constv,1.0,60.96945603225254,2716.0474853727937,0.0,[]
gen_CH0_0_ror,CH0_0,846.0845947265625,0.0,3892.22607421875,q_min,-790.3502197265625,q_max,790.3502197265625,av_mode,constq,1.0,846.0845947265625,-5.684341886080802e-14,0.0,[]
gen_CH0_0_waste,CH0_0,0.021942362189292908,0.0,181.5,q_min,-36.85514831542969,q_max,36.85514831542969,av_mode,constq,1.0,0.021942362189292908,0.0,0.0,[]
gen_CZ0_0_0_onwind,CZ0_0,36.709739685058594,0.0,155.26014709472656,q_min,-31.526918411254883,q_max,31.526918411254883,av_mode,constq,1.0,36.70973968505859,0.0,0.0,[]
gen_CZ0_0_0_solar,CZ0_0,-0.0,0.0,2950.905029296875,q_min,-599.2068481445312,q_max,599.2068481445312,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_CZ0_0_0_solar-hsat,CZ0_0,-0.0,0.0,1.0,q_min,-0.0066056158393621445,q_max,0.0066056158393621445,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_CZ0_0_CCGT,CZ0_0,0.006622958928346634,0.0,2159.0,q_min,-438.4036560058594,q_max,438.4036560058594,av_mode,constq,1.0,0.006622958928346633,0.0,0.0,[]
gen_CZ0_0_biomass,CZ0_0,109.97576141357422,0.0,110.0,q_min,-22.33645248413086,q_max,22.33645248413086,av_mode,constq,1.0,109.9757614135742,7.105427357601002e-15,0.0,[]
gen_CZ0_0_coal,CZ0_0,439.857177734375,0.0,440.0,q_min,-89.34580993652344,q_max,89.34580993652344,av_mode,constq,1.0,439.8571777343749,1.4210854715202004e-14,0.0,[]
gen_CZ0_0_lignite,CZ0_0,0.21021638810634613,0.0,6869.60009765625,q_min,-1394.9317626953125,q_max,1394.9317626953125,av_mode,constv,1.0,0.2102162451400318,2825.990078004437,0.0,[]
gen_CZ0_0_nuclear,CZ0_0,72.16045379638672,0.0,4164.0,q_min,-845.5362548828125,q_max,845.5362548828125,av_mode,constq,1.0,72.16045379638672,0.0,0.0,[]
gen_CZ0_0_ror,CZ0_0,7.250129222869873,0.0,40.226383209228516,q_min,-8.168314933776855,q_max,8.168314933776855,av_mode,constq,1.0,7.250129222869873,0.0,0.0,[]
gen_CZ0_0_waste,CZ0_0,0.021456243470311165,0.0,30.200000762939453,q_min,-6.132371425628662,q_max,6.132371425628662,av_mode,constq,1.0,0.02145624347031116,0.0,0.0,[]
gen_DE0_0_0_onwind,DE0_0,182.86419677734375,0.0,1304.540283203125,q_min,-264.8982238769531,q_max,264.8982238769531,av_mode,constq,1.0,182.86419677734372,-3.552713678800501e-15,0.0,[]
gen_DE0_0_0_solar,DE0_0,-0.0,0.0,22584.2578125,q_min,-4585.92919921875,q_max,4585.92919921875,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_DE0_0_0_solar-hsat,DE0_0,-0.0,0.0,1.0,q_min,-0.041345611214637756,q_max,0.041345611214637756,av_mode,constq,1.0,0.0,0.0,0.0,[]
gen_DE0_0_CCGT,DE0_0,0.004799892194569111,0.0,929.8582153320312,q_min,-188.81576538085938,q_max,188.81576538085938,av_mode,constq,1.0,0.004799892194569112,2.168404344971009e-19,0.0,[]
gen_DE0_0_OCGT,DE0_0,0.003613612148910761,0.0,553.0660400390625,q_min,-112.30484771728516,q_max,112.30484771728516,av_mode,constq,1.0,0.003613612148910761,0.0,0.0,[]
gen_DE0_0_biomass,DE0_0,99.2959976196289,0.0,99.33599853515625,q_min,-20.171035766601562,q_max,20.171035766601562,av_mode,constq,1.0,99.2959976196289,0.0,0.0,[]
gen_DE0_0_coal,DE0_0,5919.8671875,0.0,5920.0,q_min,-1202.1072998046875,q_max,1202.1072998046875,av_mode,constv,1.0,5919.867209940239,1273.6013539287223,0.0,[]
gen_DE0_0_geothermal,DE0_0,7.793150901794434,0.0,7.800000190734863,q_min,-1.583857536315918,q_max,1.583857536315918,av_mode,constq,1.0,7.793150901794434,0.0,0.0,[]
gen_DE0_0_oil,DE0_0,0.0017135984962806106,0.0,468.3611145019531,q_min,-95.10478210449219,q_max,95.10478210449219,av_mode,constq,1.0,0.0017135984962806103,0.0,0.0,[]
gen_DE0_0_ror,DE0_0,17.101228713989258,0.0,40.275001525878906,q_min,-8.178187370300293,q_max,8.178187370300293,av_mode,constq,1.0,17.101228713989258,-4.440892098500626e-16,0.0,[]
gen_DE0_0_waste,DE0_0,0.01760440692305565,0.0,97.73999786376953,q_min,-19.846954345703125,q_max,19.846954345703125,av_mode,constq,1.0,0.017604406923055652,0.0,0.0,[]
gen_DE0_10_0_offwind-ac,DE0_10,8276.501953125,0.0,9412.91796875,q_min,-1911.37451171875,q_max,1911.37451171875,av_mode,constq,1.0,8276.501953125,0.0,0.0,[]
gen_DE0_10_0_offwind-dc,DE0_10,18742.2109375,0.0,21165.693359375,q_min,-4297.87744140625,q_max,4297.87744140625,av_mode,constq,1.0,18742.2109375,2.842170943040401e-14,0.0,[]
gen_DE0_10_0_offwind-float,DE0_10,0.002905255649238825,0.0,1.0,q_min,-0.0013155004708096385,q_max,0.0013155004708096385,av_mode,constq,1.0,0.002905255649238825,0.0,0.0,[]
gen_DE0_10_0_onwind,DE0_10,2051.610595703125,0.0,5097.056640625,q_min,-1035.00146484375,q_max,1035.00146484375,av_mode,constq,1.0,2051.610595703125,3.552713678800501e-15,0.0,[]
gen_DE0_10_0_solar,DE0_10,-0.0,0.0,945.06201171875,q_min,-191.9030303955078,q_max,191.9030303955078,av_mode,constq,1.0,-0.0,0.0,0.0,[]
gen_DE0_10_0_solar-hsat,DE0_10,-0.0,0.0,1.0,q_min,-0.03457612544298172,q_max,0.03457612544298172,av_mode,constq,1.0,-0.0,0.0,0.0,[]
gen_DE0_10_CCGT,DE0_10,0.003620695322751999,0.0,223.0450439453125,q_min,-45.291229248046875,q_max,45.291229248046875,av_mode,constq,1.0,0.0036206953227519985,0.0,0.0,[]
gen_DE0_10_OCGT,DE0_10,0.0031092572025954723,0.0,91.21344757080078,q_min,-18.52168083190918,q_max,18.52168083190918,av_mode,constq,1.0,0.0031092572025954723,0.0,0.0,[]
