name,bus,plini_mw,qlini_mvar,p_result_mw,q_result_mvar,outserv
load_AT0_0,AT0_0,9322.5,1893.014404296875,9322.5,1893.014404296875,0.0
load_BE0_0,BE0_0,2690.9775390625,546.4263305664062,2690.9775390625005,546.4263305664061,0.0
load_BE0_1,BE0_1,7744.72216796875,1572.6329345703125,7744.722167968751,1572.632934570313,0.0
load_CH0_0,CH0_0,6299.7001953125,1279.2086181640625,6299.700195312501,1279.208618164062,0.0
load_CZ0_0,CZ0_0,8023.39990234375,1629.2208251953125,8023.399902343749,1629.2208251953127,0.0
load_DE0_0,DE0_0,3011.25,611.4603881835938,3011.2499999999995,611.4603881835938,0.0
load_DE0_1,DE0_1,1763.0706787109375,358.00677490234375,1763.0706787109375,358.00677490234386,0.0
load_DE0_10,DE0_10,951.7589111328125,193.2628936767578,951.7589111328125,193.2628936767578,0.0
load_DE0_11,DE0_11,1307.24560546875,265.4475402832031,1307.24560546875,265.4475402832031,0.0
load_DE0_12,DE0_12,1057.951904296875,214.82630920410156,1057.951904296875,214.82630920410173,0.0
load_DE0_13,DE0_13,792.3300170898438,160.88946533203125,792.3300170898436,160.88946533203125,0.0
load_DE0_14,DE0_14,1106.7281494140625,224.73074340820312,1106.7281494140623,224.73074340820312,0.0
load_DE0_15,DE0_15,1045.273193359375,212.25177001953125,1045.2731933593752,212.25177001953128,0.0
load_DE0_16,DE0_16,543.1747436523438,110.29633331298828,543.1747436523439,110.29633331298828,0.0
load_DE0_17,DE0_17,1141.90283203125,231.8732452392578,1141.90283203125,231.87324523925787,0.0
load_DE0_18,DE0_18,2299.185791015625,466.8695983886719,2299.185791015625,466.86959838867176,0.0
load_DE0_19,DE0_19,1624.0897216796875,329.7854919433594,1624.0897216796875,329.7854919433595,0.0
load_DE0_2,DE0_2,2796.042724609375,567.7606811523438,2796.0427246093755,567.7606811523439,0.0
load_DE0_20,DE0_20,3807.82958984375,773.2127685546875,3807.82958984375,773.2127685546875,0.0
load_DE0_21,DE0_21,730.8179931640625,148.39892578125,730.8179931640625,148.39892578125,0.0
load_DE0_22,DE0_22,1154.9661865234375,234.52589416503906,1154.9661865234373,234.525894165039,0.0
load_DE0_23,DE0_23,1391.5841064453125,282.5732116699219,1391.5841064453123,282.5732116699219,0.0
load_DE0_24,DE0_24,1714.038330078125,348.0503234863281,1714.038330078125,348.050323486328,0.0
load_DE0_25,DE0_25,988.47265625,200.71792602539062,988.4726562500001,200.71792602539065,0.0
load_DE0_26,DE0_26,2296.086669921875,466.2402648925781,2296.0866699218755,466.2402648925781,0.0
