name,from_bus,to_bus,type,rated_current_ka_pf,rated_mva_from_current,apparent_from_mva,apparent_to_mva,loading_calc_percent,length_km,p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,i_from_ka,i_to_ka,loading_percent,outserv
0,AT0_0,CH0_0,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,1349.5518839516967,1261.1271450712534,38.52059133841368,453.6899108886719,1324.4149415284833,-259.2592334588644,-1259.8876574394626,55.89961240718719,2.0504319565391547,1.9160844646655357,38.52059133841369,0.0
1,AT0_0,CZ0_0,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,1001.57098142102,950.2338999089391,28.588086853512873,265.0067138671875,970.2485710718887,-248.51990092872478,-950.1258736467817,-14.327901559254855,1.5217296729893255,1.443731047078039,28.588086853512877,0.0
10,BE0_0,FR0_3,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,1937.6257381128132,1894.3238695946443,55.30612799122833,221.8491668701172,1932.7862159481083,-136.86104061498386,-1865.991167577654,326.4044813390441,2.9439177402342835,2.87812735748581,55.30612798138256,0.0
100,DE0_34,PL0_2,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,3749.0606125076315,3702.47850582475,107.0103591234128,247.00326538085938,3711.028469679025,532.6567126093983,-3426.3320699627952,1403.0665103403826,5.696108298873152,5.62533411002917,107.0103591101778,0.0
101,DE0_35,DE0_7,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,2257.862403081304,2275.4886624540754,64.9498325362082,90.24616241455078,-2229.7774300840883,355.01442722187903,2267.254619147271,-193.404097455044,3.43046701576276,3.45724734596568,64.94983251945634,0.0
102,DE0_4,DE0_9,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,4762.639192487623,4775.988698181716,136.32222004005965,68.63194274902344,-4648.586493442304,1036.038460099308,4774.648487166276,-113.13650675304007,7.236081630062426,7.256364105705999,136.32222002159222,0.0
103,DE0_4,NL0_1,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,2673.641542513376,2709.582100909355,77.34026831290426,185.08360290527344,-2599.7852746931694,624.0798212904065,2709.481129509962,-23.391673684794114,4.062178063303518,4.116784092404886,77.34026830116012,0.0
104,DE0_9,NL0_1,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,1472.599541919379,1495.725415488389,42.692858399632634,118.32731628417969,-1462.6930847497088,170.523754024318,1483.7617995286366,-188.80000211190554,2.2373835311065697,2.2725196608811964,42.6928583931497,0.0
105,FR0_0,FR0_10,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,2804.4883659110897,2768.7765271155977,80.04920117651683,184.06173706054688,2804.485451629391,-4.043034719684101,-2687.5534023923037,665.7177828448496,4.260979243971116,4.206720718339678,80.04920116223323,0.0
106,FR0_0,FR0_3,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,285.8959219400734,321.5806712951856,9.178956191756136,223.2201385498047,-246.06242514468937,-145.56703305995717,247.1727557777097,-205.71766319865407,0.4343739143759598,0.4885912818547647,9.178956190092762,0.0
