name,uknom_kv,u_pu,u_kv,angle_deg,outserv,longitude_attr,longitude,latitude_attr,latitude
AT0_0,380.0,1.0,219.3931022920578,0.0,0.0,GPSlon,14.127942078095238,GPSlat,47.61640273380952
BE0_0,380.0,1.0,219.3931022920578,35.08906261926707,0.0,GPSlon,5.537882977083334,GPSlat,50.49133289666667
BE0_1,380.0,1.0,219.3931022920578,34.84498511417058,0.0,GPSlon,4.202634330625,GPSlat,50.992948311875
CH0_0,380.0,1.0,219.3931022920578,4.561410160795156,0.0,GPSlon,8.223046863879311,GPSlat,46.85403833508621
CZ0_0,380.0,1.0,219.3931022920578,2.695563533534431,0.0,GPSlon,15.3179132525,GPSlat,49.86685497775
DE0_0,380.0,1.0,219.3931022920578,34.46279619588301,0.0,GPSlon,8.450709640769231,GPSlat,49.314145290000006
DE0_1,380.0,1.0,219.3931022920578,79.89043351545604,0.0,GPSlon,10.154484798333334,GPSlat,52.19652704999999
DE0_10,380.0,1.0,219.3931022920578,121.7736866876548,0.0,GPSlon,7.617787634666667,GPSlat,53.219703974666665
DE0_11,380.0,1.0,219.3931022920578,66.72971498992078,0.0,GPSlon,9.37986160076923,GPSlat,51.458115843076925
DE0_12,380.0,1.0,219.3931022920578,66.44717701643627,0.0,GPSlon,11.778833731428572,GPSlat,51.99746787714286
DE0_13,380.0,1.0,219.3931022920578,13.3479816459975,0.0,GPSlon,10.00568094,GPSlat,47.7687744175
DE0_14,380.0,1.0,219.3931022920578,16.226060994544973,0.0,GPSlon,7.9613227575,GPSlat,47.912589175
DE0_15,380.0,1.0,219.3931022920578,38.46810191410287,0.0,GPSlon,6.782016574285714,GPSlat,49.60947125928572
DE0_16,380.0,0.9999999999999999,219.39310229205776,78.10903437141519,0.0,GPSlon,12.011534011666669,GPSlat,53.4946876125
DE0_17,380.0,1.0,219.3931022920578,38.28488392546666,0.0,GPSlon,9.85766154,GPSlat,49.91442402375
DE0_18,380.0,1.0,219.3931022920578,71.44739731354062,0.0,GPSlon,7.3882468375,GPSlat,51.457125015
DE0_19,380.0,1.0,219.3931022920578,83.162738980555,0.0,GPSlon,7.653390486499999,GPSlat,52.0621827975
DE0_2,380.0,1.0,219.3931022920578,59.519041665700556,0.0,GPSlon,13.386455518636364,GPSlat,52.49458314727272
DE0_20,380.0,1.0000000000000002,219.39310229205785,43.77873333282505,0.0,GPSlon,8.637026702777778,GPSlat,50.121279793333336
DE0_21,380.0,1.0,219.3931022920578,21.04580998543981,0.0,GPSlon,12.10054686,GPSlat,49.4052587975
DE0_22,380.0,1.0,219.3931022920578,50.131565639305045,0.0,GPSlon,14.314128448888887,GPSlat,51.52318329555556
DE0_23,380.0,1.0,219.3931022920578,16.32372806999266,0.0,GPSlon,10.100315593,GPSlat,48.471917563
DE0_24,380.0,1.0,219.3931022920578,96.64106635980461,0.0,GPSlon,8.829189676,GPSlat,52.967364143500006
DE0_25,380.0,1.0,219.3931022920578,9.521239555189744,0.0,GPSlon,13.092709632857142,GPSlat,48.44850149285714
DE0_26,380.0,1.0,219.3931022920578,10.008804501032124,0.0,GPSlon,11.10297287777778,GPSlat,48.015084172222224
DE0_27,380.0,0.9999999999999999,219.39310229205776,53.46608247020051,0.0,GPSlon,7.892212707058824,GPSlat,50.589967468235294
DE0_28,380.0,1.0,219.3931022920578,44.6042513827992,0.0,GPSlon,10.944984108333331,GPSlat,50.90570263166666
DE0_29,380.0,1.0,219.3931022920578,115.48341532786242,0.0,GPSlon,9.356526531,GPSlat,54.2653046865
