neighbor_country_code,neighbor_country,line_count,total_rated_capacity_mva,total_used_apparent_power_mva,capacity_weighted_utilization_percent,maximum_line_utilization_percent,net_export_from_germany_mw,net_flow_direction,border_capacity_share_all_germany_borders_percent
AT,Austria,5,17517.27890280192,6794.737256565422,38.78877132839731,59.32327103785131,6678.5004147337295,Germany net export,26.31578947368421
CH,Switzerland,2,7006.911561120768,4819.913360656523,68.78798624205226,73.14755211739627,4810.193007169288,Germany net export,10.526315789473683
CZ,Czechia,2,7006.911561120768,6379.175797351272,91.04119185330364,124.39184529928006,6312.164904262839,Germany net export,10.526315789473683
DK,Denmark,3,10510.367341681153,3641.662508199356,34.64828953939173,34.64828953939173,-3526.128830682576,Germany net import,15.789473684210526
FR,France,2,7006.911561120768,4555.689632533511,65.01708481396646,114.01883347654243,3452.302960604236,Germany net export,10.526315789473683
NL,Netherlands,3,10510.367341681153,13071.852126078018,124.37103006132564,209.93867725431764,1765.598443326945,Germany net export,15.789473684210526
PL,Poland,2,7006.911561120768,5947.32850708375,84.87803014503103,107.18467264840737,5906.7640427669385,Germany net export,10.526315789473683
