name,from_bus,to_bus,type,rated_current_ka_pf,rated_mva_from_current,apparent_from_mva,apparent_to_mva,loading_calc_percent,length_km,p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,i_from_ka,i_to_ka,loading_percent,outserv
0,AT0_0,CH0_0,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,415.5023282553159,468.35345470987306,13.368327846711372,453.6899108886719,-260.1999928228833,-323.94158195662345,262.7398766493334,-387.71473502688315,0.6312904764924288,0.7115894556648327,13.36832784671137,0.0
1,AT0_0,CZ0_0,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,316.92566087879777,357.8627647375047,10.21456490825935,265.0067138671875,-263.9521544209334,-175.4170308151704,265.47118416337287,-239.98085082870094,0.4815187253196684,0.5437162198793213,10.214564908259351,0.0
10,BE0_0,FR0_3,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,1684.5342520283104,1641.1822851219395,48.08207545747491,221.8491668701172,1675.4551739516633,-174.65854211913245,-1625.2858739089825,227.87084295711543,2.559385010178132,2.493518510801045,48.082075457474915,0.0
100,DE0_34,PL0_2,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,3755.1676097753525,3708.5934921345133,107.18467264840737,247.00326538085938,3716.73742687049,535.8606882446832,-3431.103701315816,1407.5486068762855,5.705386921989378,5.634624871049358,107.18467264840737,0.0
101,DE0_35,DE0_7,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,2571.8238767534344,2589.439978965736,73.9110221779808,90.24616241455078,-2534.18728994929,438.3752188462946,2582.7766893726466,-185.64476157258298,3.9074821251365845,3.934247023437491,73.9110221779808,0.0
102,DE0_4,DE0_9,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,4939.113347746008,4952.456859531238,141.3591941708219,68.63194274902344,-4815.9776022050455,1095.9928817935438,4951.542384544743,-95.16805963646243,7.5042063707348206,7.524479739474656,141.35919417082195,0.0
103,DE0_4,NL0_1,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,3295.42156439753,3331.112999306111,95.0807776079107,185.08360290527344,-3161.9024416019315,928.5344564893691,3328.2926342046635,137.04727376032025,5.006875071837399,5.061102596974855,95.08077760791072,0.0
104,DE0_9,NL0_1,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,2362.5380620097408,2385.630402873507,68.09363532174856,118.32731628417969,-2326.153166066469,413.0345535711083,2380.1975100008526,-160.91063513687445,3.5895052265054233,3.6245904086473026,68.09363532174856,0.0
105,FR0_0,FR0_10,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,2483.7560391531288,2447.9399166489447,70.89445949153232,184.06173706054688,2482.750305921605,-70.67517581028505,-2391.2613595956705,523.7164744667746,3.773676888964257,3.7192599206244705,70.89445949153232,0.0
106,FR0_0,FR0_3,Al_St_240_40_4-bundle_380.0,5.32295036315918,3503.455780560384,212.72510308048408,192.4049648754062,6.071864935782301,223.2201385498047,93.73547611873707,-190.9597601522275,-93.57539372733861,-168.11697177108516,0.32320235664975894,0.2923291006953586,6.071864935782302,0.0
