name,bus,p_schedule_mw,p_result_raw_mw,result_sign_reversed,p_result_mw,delta_p_mw,participates_observed,observed_share
gen_DE0_7_0_onwind,DE0_7,3.061647891998291,3.0616478932943565,0,3.0616478932943565,1.2960654771632107e-09,0,0.0
gen_FR0_6_nuclear,FR0_6,3451.07470703125,3451.074707031208,0,3451.074707031208,-4.18367562815547e-11,0,0.0
gen_DE0_7_waste,DE0_7,0.01756168156862259,0.017561681561226894,0,0.017561681561226894,-7.395695167389249e-12,0,0.0
gen_FR0_6_ror,FR0_6,379.4988708496094,379.49887084961654,0,379.49887084961654,7.16227077646181e-12,0,0.0
gen_FR0_7_0_offwind-ac,FR0_7,856.3773193359375,856.377319335943,0,856.377319335943,5.4569682106375694e-12,0,0.0
gen_DE0_10_0_offwind-dc,DE0_10,18742.2109375,18742.210937500004,0,18742.210937500004,3.637978807091713e-12,0,0.0
gen_FR0_0_0_onwind,FR0_0,3938.573486328125,3938.5734863281223,0,3938.5734863281223,-2.7284841053187847e-12,0,0.0
gen_FR0_7_0_onwind,FR0_7,1182.80712890625,1182.807128906248,0,1182.807128906248,-2.0463630789890885e-12,0,0.0
gen_FR0_7_nuclear,FR0_7,1893.2733154296875,1893.2733154296857,0,1893.2733154296857,-1.8189894035458565e-12,0,0.0
gen_NL0_1_0_offwind-dc,NL0_1,12311.546875,12311.546875000002,0,12311.546875000002,1.8189894035458565e-12,0,0.0
gen_DE0_7_oil,DE0_7,0.0016829881351441145,0.0016829881368777833,0,0.0016829881368777833,1.7336687641034132e-12,0,0.0
gen_DE0_7_OCGT,DE0_7,0.003626967314630747,0.0036269673132954955,0,0.0036269673132954955,-1.335251353928868e-12,0,0.0
gen_FR0_10_nuclear,FR0_10,4242.22998046875,4242.229980468749,0,4242.229980468749,-9.094947017729282e-13,0,0.0
gen_FR0_9_nuclear,FR0_9,6596.4130859375,6596.413085937501,0,6596.413085937501,9.094947017729282e-13,0,0.0
gen_DE0_2_0_onwind,DE0_2,1079.9854736328125,1079.9854736328116,0,1079.9854736328116,-9.094947017729282e-13,0,0.0
gen_DE0_29_0_onwind,DE0_29,8102.18310546875,8102.183105468749,0,8102.183105468749,-9.094947017729282e-13,0,0.0
gen_FR0_4_0_onwind,FR0_4,5672.32861328125,5672.328613281249,0,5672.328613281249,-9.094947017729282e-13,0,0.0
gen_DK0_0_0_offwind-dc,DK0_0,4757.701171875,4757.701171874999,0,4757.701171874999,-9.094947017729282e-13,0,0.0
gen_DE0_24_0_onwind,DE0_24,1924.329833984375,1924.3298339843757,0,1924.3298339843757,6.821210263296962e-13,0,0.0
gen_DE0_7_CCGT,DE0_7,0.003619858995079994,0.003619858994515196,0,0.003619858994515196,-5.647982082024328e-13,0,0.0
gen_FR0_2_nuclear,FR0_2,2501.63916015625,2501.6391601562495,0,2501.6391601562495,-4.547473508864641e-13,0,0.0
gen_DE0_12_0_onwind,DE0_12,2218.54150390625,2218.5415039062495,0,2218.5415039062495,-4.547473508864641e-13,0,0.0
gen_DE0_5_0_onwind,DE0_5,2791.82958984375,2791.8295898437495,0,2791.8295898437495,-4.547473508864641e-13,0,0.0
gen_FR0_0_nuclear,FR0_0,497.4162902832031,497.41629028320347,0,497.41629028320347,3.410605131648481e-13,0,0.0
gen_DE0_20_coal,DE0_20,521.6849365234375,521.6849365234377,0,521.6849365234377,2.2737367544323206e-13,0,0.0
gen_DE0_32_coal,DE0_32,1538.9014892578125,1538.9014892578127,0,1538.9014892578127,2.2737367544323206e-13,0,0.0
gen_FR0_8_nuclear,FR0_8,1881.253662109375,1881.2536621093748,0,1881.2536621093748,-2.2737367544323206e-13,0,0.0
gen_DE0_1_0_onwind,DE0_1,1147.2432861328125,1147.2432861328123,0,1147.2432861328123,-2.2737367544323206e-13,0,0.0
gen_DE0_16_0_onwind,DE0_16,1243.3153076171875,1243.3153076171873,0,1243.3153076171873,-2.2737367544323206e-13,0,0.0
gen_DE0_22_0_onwind,DE0_22,797.9697875976562,797.969787597656,0,797.969787597656,-2.2737367544323206e-13,0,0.0
gen_DE0_30_0_onwind,DE0_30,1514.016357421875,1514.0163574218748,0,1514.0163574218748,-2.2737367544323206e-13,0,0.0
gen_DE0_4_0_onwind,DE0_4,1112.1885986328125,1112.1885986328127,0,1112.1885986328127,2.2737367544323206e-13,0,0.0
gen_FR0_10_0_onwind,FR0_10,1132.2418212890625,1132.2418212890623,0,1132.2418212890623,-2.2737367544323206e-13,0,0.0
gen_PL0_2_0_onwind,PL0_2,1204.807861328125,1204.8078613281252,0,1204.8078613281252,2.2737367544323206e-13,0,0.0
gen_FR0_9_0_offwind-ac,FR0_9,1276.8819580078125,1276.8819580078127,0,1276.8819580078127,2.2737367544323206e-13,0,0.0
gen_DE0_3_coal,DE0_3,471.9708251953125,471.97082519531267,0,471.97082519531267,1.7053025658242404e-13,0,0.0
gen_FR0_5_nuclear,FR0_5,161.1962890625,161.19628906250017,0,161.19628906250017,1.7053025658242404e-13,0,0.0
gen_FR0_5_biomass,FR0_5,208.27569580078125,208.2756958007811,0,208.2756958007811,-1.4210854715202004e-13,0,0.0
gen_DE0_2_biomass,DE0_2,311.904296875,311.9042968750001,0,311.9042968750001,1.1368683772161603e-13,0,0.0
gen_FR0_6_biomass,FR0_6,61.676021575927734,61.67602157592785,0,61.67602157592785,1.1368683772161603e-13,0,0.0
gen_NL0_0_biomass,NL0_0,639.9235229492188,639.9235229492189,0,639.9235229492189,1.1368683772161603e-13,0,0.0
gen_BE0_0_0_onwind,BE0_0,257.6883544921875,257.6883544921876,0,257.6883544921876,1.1368683772161603e-13,0,0.0
gen_BE0_1_0_onwind,BE0_1,541.427978515625,541.4279785156251,0,541.4279785156251,1.1368683772161603e-13,0,0.0
gen_DE0_18_0_onwind,DE0_18,540.2919921875,540.2919921875001,0,540.2919921875001,1.1368683772161603e-13,0,0.0
gen_DE0_27_0_onwind,DE0_27,524.8623657226562,524.8623657226561,0,524.8623657226561,-1.1368683772161603e-13,0,0.0
gen_DE0_31_0_onwind,DE0_31,752.5097045898438,752.5097045898436,0,752.5097045898436,-1.1368683772161603e-13,0,0.0
gen_FR0_5_0_onwind,FR0_5,93.28559112548828,93.2855911254884,0,93.2855911254884,1.1368683772161603e-13,0,0.0
gen_FR0_8_0_onwind,FR0_8,924.6786499023438,924.6786499023436,0,924.6786499023436,-1.1368683772161603e-13,0,0.0
gen_FR0_9_0_onwind,FR0_9,564.5664672851562,564.5664672851564,0,564.5664672851564,1.1368683772161603e-13,0,0.0
gen_PL0_2_0_offwind-dc,PL0_2,803.3666381835938,803.3666381835939,0,803.3666381835939,1.1368683772161603e-13,0,0.0
gen_FR0_1_ror,FR0_1,748.5563354492188,748.5563354492186,0,748.5563354492186,-1.1368683772161603e-13,0,0.0
gen_FR0_5_ror,FR0_5,395.208984375,395.2089843750001,0,395.2089843750001,1.1368683772161603e-13,0,0.0
gen_hvdc_recv_relation_8193755-320-DC_bu,BE0_0,999.9442138671875,999.9442138671876,0,999.9442138671876,1.1368683772161603e-13,0,0.0
gen_FR0_6_0_onwind,FR0_6,99.59051513671875,99.59051513671884,0,99.59051513671884,8.526512829121202e-14,0,0.0
gen_BE0_0_biomass,BE0_0,67.97464752197266,67.97464752197271,0,67.97464752197271,5.684341886080802e-14,0,0.0
gen_DE0_1_biomass,DE0_1,253.12857055664062,253.12857055664057,0,253.12857055664057,-5.684341886080802e-14,0,0.0
gen_DE0_12_biomass,DE0_12,365.4674987792969,365.4674987792968,0,365.4674987792968,-5.684341886080802e-14,0,0.0
gen_DE0_16_biomass,DE0_16,337.61285400390625,337.6128540039062,0,337.6128540039062,-5.684341886080802e-14,0,0.0
