name,bus,usetp_pu,p_mw,q_mvar,outserv
slack_AT0_0,AT0_0,1.0,1.07615828740831e-19,1665.3580112052525,0.0
slack_DK1_0,DK1_0,1.0,0.0,387.9232177734375,0.0
