name,bus,plini_mw,qlini_mvar,p_result_mw,q_result_mvar,outserv
load_AT0_0,AT0_0,9322.5,1893.014404296875,8716.658346138913,1893.014404296875,0.0
load_BE0_0,BE0_0,2690.9775390625,546.4263305664062,2516.0988817529083,546.4263305664062,0.0
load_BE0_1,BE0_1,7744.72216796875,1572.6329345703125,7241.415620697437,1572.6329345703116,0.0
load_CH0_0,CH0_0,6299.7001953125,1279.2086181640625,5890.301344665449,1279.2086181640625,0.0
load_CZ0_0,CZ0_0,8023.39990234375,1629.2208251953125,7501.9829147948285,1629.2208251953125,0.0
load_DE0_0,DE0_0,3011.25,611.4603881835938,2815.557784372303,611.4603881835938,0.0
load_DE0_1,DE0_1,1763.0706787109375,358.00677490234375,1648.4939390097602,358.0067749023438,0.0
load_DE0_10,DE0_10,951.7589111328125,193.2628936767578,889.9069194140964,193.2628936767577,0.0
load_DE0_11,DE0_11,1307.24560546875,265.4475402832031,1222.2915867377417,265.4475402832031,0.0
load_DE0_12,DE0_12,1057.951904296875,214.82630920410156,989.198744585992,214.82630920410162,0.0
load_DE0_13,DE0_13,792.3300170898438,160.88946533203125,740.8388368315981,160.88946533203122,0.0
load_DE0_14,DE0_14,1106.7281494140625,224.73074340820312,1034.8051660495532,224.73074340820307,0.0
load_DE0_15,DE0_15,1045.273193359375,212.25177001953125,977.3439855072425,212.25177001953114,0.0
load_DE0_16,DE0_16,543.1747436523438,110.29633331298828,507.8754264059068,110.29633331298825,0.0
load_DE0_17,DE0_17,1141.90283203125,231.8732452392578,1067.6939502606442,231.87324523925787,0.0
load_DE0_18,DE0_18,2299.185791015625,466.8695983886719,2149.7685185926894,466.8695983886719,0.0
load_DE0_19,DE0_19,1624.0897216796875,329.7854919433594,1518.5449425966933,329.7854919433594,0.0
load_DE0_2,DE0_2,2796.042724609375,567.7606811523438,2614.3361921831365,567.7606811523436,0.0
load_DE0_20,DE0_20,3807.82958984375,773.2127685546875,3560.3700268153643,773.2127685546877,0.0
load_DE0_21,DE0_21,730.8179931640625,148.39892578125,683.3242970900527,148.39892578125,0.0
